"","id","family","a_key","b_key","c_key","convergence","pdHess","N","npar","loglik","AIC","AICc","BIC","SD_est","dAIC","dAICc","dBIC"
"63",32,2,1,1,1,0,1,105,4,-269.656045804477,547.312091608954,547.712091608954,557.927933009584,TRUE,39.4038258591831,30.5806051001663,28.1327053560694
"64",86,2,0,2,3,0,1,105,24,-226.914967253724,501.829934507449,516.829934507449,565.524982911229,FALSE,-6.07833124232252,-0.301552001339246,35.7297552577143
"65",52,2,1,0,2,0,1,105,22,-234.459930973734,512.919861947468,525.261325362102,571.306989650934,FALSE,5.0115961976972,8.1298388533146,41.5117619974189
"66",31,2,0,1,1,0,0,105,21,-228.46189253905,498.923785078101,510.056315198583,554.656952431409,FALSE,-8.9844806716701,-7.07517131020495,24.8617247778942
"67",106,2,0,1,4,0,0,105,21,-229.333683650248,500.667367300497,511.799897420979,556.400534653805,FALSE,-7.24089844927425,-5.33158908780911,26.6053070002901
"68",56,2,0,1,2,0,0,105,22,-228.461892540996,500.923785081992,513.265248496627,559.310912785458,FALSE,-6.98448066777854,-3.86623801216115,29.5156851319432
"69",36,2,0,2,1,0,0,105,22,-228.461892544821,500.923785089642,513.265248504276,559.310912793107,FALSE,-6.98448066012912,-3.86623800451173,29.5156851395926
"70",111,2,0,2,4,0,0,105,22,-229.333683657151,502.667367314303,515.008830728937,561.054495017768,FALSE,-5.24089843546824,-2.1226557798509,31.2592673642536
"71",41,2,0,3,1,0,0,105,23,-228.46189253966,502.923785079319,516.553414708949,563.964873132942,FALSE,-4.98448067045189,-0.578071799838995,34.1696454794275
"72",61,2,0,2,2,0,0,105,23,-228.46189254514,502.92378509028,516.55341471991,563.964873143903,FALSE,-4.98448065949083,-0.578071788877992,34.1696454903885
"73",81,2,0,1,3,0,0,105,23,-228.461892545649,502.923785091298,516.553414720928,563.964873144921,FALSE,-4.9844806584731,-0.578071787860267,34.1696454914062
"74",116,2,0,3,4,0,0,105,23,-229.333683644921,504.667367289841,518.296996919471,565.708455343464,FALSE,-3.24089845992955,1.16551041068328,35.9132276899497
"75",66,2,0,3,2,0,0,105,24,-228.461892540433,504.923785080866,519.923785080866,568.618833484646,FALSE,-2.98448066890535,2.79229857207781,38.8236058311315
"76",118,2,2,3,4,0,0,105,7,-253.262712976077,520.525425952155,521.680065127413,539.103148403258,FALSE,12.6171602023839,4.5485786186249,9.30792074974283
"77",124,2,3,4,4,0,0,105,6,-254.669126179925,521.33825235985,522.195395216993,537.262014460795,FALSE,13.4299866100786,5.06390870820474,7.46678680728007
"78",73,2,2,4,2,0,0,105,6,-255.211693956376,522.423387912752,523.280530769894,538.347150013697,FALSE,14.5151221629805,6.14904426110661,8.55192236018195
"79",119,2,3,3,4,0,0,105,8,-253.15150464237,522.303009284741,523.803009284741,543.534692086001,FALSE,14.3947435349699,6.67152277595312,13.7394644324863
"80",74,2,3,4,2,0,0,105,7,-255.141304160582,524.282608321164,525.437247496422,542.860330772267,FALSE,16.3743425713934,8.30576098763436,13.0651031187523
"81",93,2,2,3,3,0,0,105,9,-253.221172482753,524.442344965506,526.337081807611,548.327988116924,FALSE,16.5340792157351,9.2055952988236,18.5327604634091
"82",115,2,4,2,4,0,0,105,5,-257.993824550507,525.987649101014,526.593709707075,539.257450851802,FALSE,18.0793833512431,9.46222319828689,9.46222319828689
"83",99,2,3,4,3,0,0,105,8,-254.685402732378,525.370805464755,526.870805464755,546.602488266015,FALSE,17.4625397149842,9.73931895596741,16.8072606125006
"84",25,2,4,4,0,0,0,105,21,-237.176102805178,516.352205610355,527.484735730837,572.085372963663,FALSE,8.44393986058418,10.3532492220493,42.2901453101484
"85",77,2,1,0,3,0,0,105,23,-234.377142380321,514.754284760643,528.383914390273,575.795372814266,FALSE,6.846019010872,11.2524278814849,46.0001451607512
"86",75,2,4,4,2,0,0,105,5,-258.955863381386,527.911726762773,528.517787368833,541.18152851356,FALSE,20.0034610130016,11.3863008600455,11.3863008600455
"87",120,2,4,3,4,0,0,105,6,-257.955604057,527.911208114,528.768350971143,543.834970214945,FALSE,20.0029423642292,11.6368644623553,14.0397425614307
"88",49,2,3,4,1,0,0,105,6,-258.604534510261,529.209069020522,530.066211877665,545.132831121467,FALSE,21.3008032707506,12.9347253688767,15.337603467952
"89",100,2,4,4,3,0,0,105,6,-258.754134326383,529.508268652765,530.365411509908,545.43203075371,FALSE,21.600002902994,13.2339250011202,15.6368031001955
"90",45,2,4,3,1,0,0,105,6,-259.700608763588,531.401217527176,532.258360384319,547.324979628121,FALSE,23.4929517774049,15.126873875531,17.5297519746064
"91",95,2,4,3,3,0,0,105,8,-257.508643270153,531.017286540307,532.517286540307,552.248969341567,FALSE,23.1090207905358,15.385800031519,22.4537416880522
"92",26,2,0,0,1,0,0,105,38,-214.346353007464,504.692706014928,549.601796924019,605.543199320914,FALSE,-3.2155597348434,32.4703104152308,75.7479716673988
"93",51,2,0,0,2,0,0,105,39,-211.827462712004,501.654925424009,549.654925424009,605.159379080152,FALSE,-6.25334032576211,32.5234389152212,75.3641514266376
"94",6,2,0,1,0,0,0,105,38,-214.597242276782,505.194484553564,550.103575462655,606.04497785955,FALSE,-2.71378119620692,32.9720889538672,76.2497502060353
"95",76,2,0,0,3,0,0,105,40,-209.884309698871,499.768619397742,551.018619397742,605.927033404043,FALSE,-8.13964635202876,33.8871328889544,76.1318057505284
"96",2,2,1,0,0,0,0,105,38,-215.317284504274,506.634569008548,551.543659917639,607.485062314534,FALSE,-1.27369674122292,34.4121734088512,77.6898346610192
