"Age","Year","naa","baa","ssb","faa","caa","retro_year","Model"
2,1999,13749.9889956979,22519.2345575521,11259.6172787761,0.810383153976802,6738.339257,6,"Nominal-mean"
3,1999,6673.8123834229,19143.4813610108,19143.4813610108,0.810383153976802,3270.578034,6,"Nominal-mean"
0,2000,347349.386090889,57094.7536563067,0,0.375293273101644,95918.48219,6,"Nominal-mean"
1,2000,496523.182601026,511658.203246116,0,2.00184414330624,378988.1924,6,"Nominal-mean"
2,2000,11511.6602711757,18853.3807463095,9426.69037315476,1.19643921470051,7088.256338,6,"Nominal-mean"
3,2000,7073.23399982121,20289.2013527352,20289.2013527352,1.19643921470051,4355.314051,6,"Nominal-mean"
0,2001,1237855.66591215,203469.668113433,0,0.239160691365471,232367,6,"Nominal-mean"
1,2001,185868.210453665,191533.84561645,0,1.3408900884416,121116.2796,6,"Nominal-mean"
2,2001,52236.7375136502,85551.4389836399,42775.71949182,1.5694696358643,36503.04645,6,"Nominal-mean"
3,2001,4375.01478875034,12549.500832631,12549.500832631,1.5694696358643,3057.26153,6,"Nominal-mean"
0,2002,262247.083131248,43106.2590234311,0,0.251101196895282,51391,6,"Nominal-mean"
1,2002,758979.804178886,782115.028087826,0,1.66285708440816,542806.0893,6,"Nominal-mean"
2,2002,37869.5662498253,62021.4056345353,31010.7028172676,0.897025552581168,19791.83303,6,"Nominal-mean"
3,2002,9177.42776651126,26324.9709905874,26324.9709905874,0.897025552581168,4796.414007,6,"Nominal-mean"
0,2003,58517.9341655554,9618.75036907112,0,0.298286682254529,13319.03538,6,"Nominal-mean"
1,2003,158885.835380083,163728.993731911,0,1.70877149931093,114824.7587,6,"Nominal-mean"
2,2003,112069.373318591,183543.165399539,91771.5826997693,0.910042745408103,59092.57859,6,"Nominal-mean"
3,2003,14941.1839309413,42858.0037406909,42858.0037406909,0.910042745408103,7878.272712,6,"Nominal-mean"
0,2004,97574.0278423089,16038.5056257233,0,0.355023251881716,25732.99331,6,"Nominal-mean"
1,2004,33819.8054835908,34850.7008619813,0,1.124250141581,20149.06858,6,"Nominal-mean"
2,2004,22407.9191201895,36698.8793061643,18349.4396530821,1.01416477634197,12602.45233,6,"Nominal-mean"
3,2004,39814.3526068024,114205.385653667,114205.385653667,1.01416477634197,22392.01588,6,"Nominal-mean"
0,2005,252830.295925115,41558.3963603678,0,0.234579205896071,46654,6,"Nominal-mean"
1,2005,53281.4424007161,54905.5674345376,0,1.30788902194503,34306.76729,6,"Nominal-mean"
2,2005,8557.40038212855,14015.0007733339,7007.50038666696,0.54351203645457,3166.463666,6,"Nominal-mean"
3,2005,17576.2441425429,50416.5359780124,50416.5359780124,0.54351203645457,6503.673543,6,"Nominal-mean"
0,2006,508578.328921886,83596.3890177519,0,0.336887367783072,128367,6,"Nominal-mean"
1,2006,155732.421957473,160479.457955045,0,1.31017427991331,100357.5598,6,"Nominal-mean"
2,2006,11220.0131937361,18375.7317135038,9187.86585675188,0.588308023966205,4403.590261,6,"Nominal-mean"
3,2006,11819.0366858133,33902.2878530376,33902.2878530376,0.588308023966205,4638.692838,6,"Nominal-mean"
0,2007,331165.958173003,54434.6400436559,0,0.32795390752912,81715.02349,6,"Nominal-mean"
1,2007,282797.720923435,291417.961618218,0,1.95996707390385,214413.185,6,"Nominal-mean"
2,2007,32719.2964956379,53586.4801472857,26793.2400736429,0.88758435433715,16988.44699,6,"Nominal-mean"
3,2007,9963.04326025375,28578.4678972037,28578.4678972037,0.88758435433715,5172.991183,6,"Nominal-mean"
0,2008,460629.830743465,75714.9652948076,0,0.169364277834087,63332.84732,6,"Nominal-mean"
1,2008,185799.052427174,191462.579514857,0,1.15985154861434,112558.0408,6,"Nominal-mean"
2,2008,31024.1148701817,50810.1730060041,25405.086503002,0.89556302420723,16197.84329,6,"Nominal-mean"
3,2008,13683.6390807157,39250.8021866397,39250.8021866397,0.89556302420723,7144.29541,6,"Nominal-mean"
0,2009,132709.448842232,21813.8093600339,0,0.285982402710388,29129.49896,6,"Nominal-mean"
1,2009,302847.831297296,312079.239496596,0,1.27189581887356,192348.7327,6,"Nominal-mean"
2,2009,45368.3251572178,74302.6016979604,37151.3008489802,0.721474122492764,20577.8155,6,"Nominal-mean"
3,2009,14219.0686838726,40786.653966595,40786.653966595,0.721474122492764,6449.375659,6,"Nominal-mean"
0,2010,103714.487211948,17047.8294624275,0,0.225107871518615,18449.23336,6,"Nominal-mean"
1,2010,77647.5300732636,80014.3822402519,0,0.91044957461077,40953.65127,6,"Nominal-mean"
2,2010,66110.9673419884,108274.150682354,54137.075341177,0.98511481192034,36557.76351,6,"Nominal-mean"
3,2010,22555.2965012461,64698.6869508338,64698.6869508338,0.98511481192034,12472.5326,6,"Nominal-mean"
0,2011,100077.53291403,16450.0134937976,0,0.261055121116464,20292.10543,6,"Nominal-mean"
1,2011,64491.5327199709,66457.3637493241,0,0.844303394704308,32448.89542,6,"Nominal-mean"
2,2011,24330.4868971443,39847.5912604489,19923.7956302244,0.719605398358854,11016.11472,6,"Nominal-mean"
3,2011,25784.2713351301,73960.8321830207,73960.8321830207,0.719605398358854,11674.34471,6,"Nominal-mean"
0,2012,112870.819784629,18552.8804962463,0,0.236893402598322,21009.80926,6,"Nominal-mean"
1,2012,60032.7408124055,61862.6589379147,0,0.949135572492637,32471.94919,6,"Nominal-mean"
2,2012,21590.006483347,35359.3315783512,17679.6657891756,0.656161980163153,9167.618518,6,"Nominal-mean"
3,2012,19005.152789533,54515.2856099598,54515.2856099598,0.656161980163153,8070.029566,6,"Nominal-mean"
0,2013,301204.752300133,49509.8359787661,0,0.165035735706844,40439.77241,6,"Nominal-mean"
1,2013,69362.7912383374,71477.10797959,0,0.513325847212708,24576.69155,6,"Nominal-mean"
2,2013,18097.1509735647,29638.8591819706,14819.4295909853,0.476426886397286,6052.914271,6,"Nominal-mean"
